,Año,Semestre,N_VICTIMAS,Población Total,Tasa semestral
0,2016,1,65,3005929,2.1623930571879777
1,2016,2,81,3005929,2.694674425111172
2,2017,1,69,3025225.333,2.280821836553092
3,2017,2,71,3025225.333,2.346932614424196
4,2018,1,70,3044521.667,2.2992117533187524
5,2018,2,79,3044521.667,2.594824693031163
6,2019,1,57,3063818,1.8604238241305455
7,2019,2,47,3063818,1.5340336795462393
8,2020,1,31,3083114.333,1.0054768215434844
9,2020,2,50,3083114.333,1.621736808941104
10,2021,1,55,3102410.667,1.7728149462941492
11,2021,2,42,3102410.667,1.3537859589882593
